"OWNER","TABLE_NAME","COLUMN_ID","COLUMN_NAME","DATA_TYPE","TYPE_TEXT","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","DATA_DEFAULT","COMMENTS"
"OPEN","EYE_INTERVIEW","1","ID","NUMBER","NUMBER","22","","","N","",""
"OPEN","EYE_INTERVIEW","2","PATIENT_ID","NUMBER","NUMBER(9)","22","9","0","N","",""
"OPEN","EYE_INTERVIEW","3","IV_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_INTERVIEW","4","CONT","VARCHAR2","VARCHAR2(2000)","2000","","","Y","",""
"OPEN","EYE_INTERVIEW","5","STAFF","NUMBER","NUMBER(5)","22","5","0","Y","",""
"OPEN","EYE_INTERVIEW","6","SAVE_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_INTERVIEW","7","SAVE_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_INTERVIEW","8","STATUS","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_INTERVIEW","9","PDF_SAVE","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_INTERVIEW","10","PDF_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_INTERVIEW","11","PDF_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_KENSA","1","PATIENT_ID","NUMBER","NUMBER(9)","22","9","0","N","",""
"OPEN","EYE_KENSA","2","KENSA_ID","NUMBER","NUMBER(2)","22","2","0","N","",""
"OPEN","EYE_KENSA","3","KENSA_DATE","NUMBER","NUMBER(8)","22","8","0","N","",""
"OPEN","EYE_KENSA","4","CONT","VARCHAR2","VARCHAR2(3000)","3000","","","Y","",""
"OPEN","EYE_KENSA","5","STAFF","NUMBER","NUMBER(5)","22","5","0","Y","",""
"OPEN","EYE_KENSA","6","SAVE_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_KENSA","7","SAVE_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_KENSA","8","PDF_SAVE","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_KENSA","9","PDF_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_KENSA","10","PDF_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_KENSA2","1","PATIENT_ID","NUMBER","NUMBER(9)","22","9","0","N","",""
"OPEN","EYE_KENSA2","2","KENSA_ID","NUMBER","NUMBER(2)","22","2","0","N","",""
"OPEN","EYE_KENSA2","3","KENSA_DATE","NUMBER","NUMBER(8)","22","8","0","N","",""
"OPEN","EYE_KENSA2","4","KENSA_SEQ","NUMBER","NUMBER(2)","22","2","0","N","",""
"OPEN","EYE_KENSA2","5","CONT","VARCHAR2","VARCHAR2(4000)","4000","","","Y","",""
"OPEN","EYE_KENSA2","6","STAFF","NUMBER","NUMBER(5)","22","5","0","Y","",""
"OPEN","EYE_KENSA2","7","SAVE_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_KENSA2","8","SAVE_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_KENSA2","9","PDF_SAVE","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_KENSA2","10","PDF_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_KENSA2","11","PDF_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_OPE","1","ID","NUMBER","NUMBER","22","","","N","",""
"OPEN","EYE_OPE","2","PATIENT_ID","NUMBER","NUMBER(9)","22","9","0","N","",""
"OPEN","EYE_OPE","3","OPE_DATE","NUMBER","NUMBER(8)","22","8","0","N","",""
"OPEN","EYE_OPE","4","OPE_TIME","NUMBER","NUMBER(4)","22","4","0","Y","",""
"OPEN","EYE_OPE","5","OPE_KIND","NUMBER","NUMBER(2)","22","2","0","Y","",""
"OPEN","EYE_OPE","6","OPE_ROOM","VARCHAR2","VARCHAR2(4)","4","","","Y","",""
"OPEN","EYE_OPE","7","OPE_NAME","VARCHAR2","VARCHAR2(100)","100","","","Y","",""
"OPEN","EYE_OPE","8","DOCTOR","VARCHAR2","VARCHAR2(50)","50","","","Y","",""
"OPEN","EYE_OPE","9","PLAN_TIME","NUMBER","NUMBER(4)","22","4","0","Y","",""
"OPEN","EYE_OPE","10","ANES","VARCHAR2","VARCHAR2(20)","20","","","Y","",""
"OPEN","EYE_OPE","11","DIAG","VARCHAR2","VARCHAR2(100)","100","","","Y","",""
"OPEN","EYE_OPE","12","IN_OUT","VARCHAR2","VARCHAR2(8)","8","","","Y","",""
"OPEN","EYE_OPE","13","IN_ROOM","VARCHAR2","VARCHAR2(8)","8","","","Y","",""
"OPEN","EYE_OPE","14","IN_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_OPE","15","IN_TIME","NUMBER","NUMBER(4)","22","4","0","Y","",""
"OPEN","EYE_OPE","16","IN_TERM","VARCHAR2","VARCHAR2(10)","10","","","Y","",""
"OPEN","EYE_OPE","17","EYE_R","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE","18","EYE_L","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE","19","HEIGHT","VARCHAR2","VARCHAR2(10)","10","","","Y","",""
"OPEN","EYE_OPE","20","WEIGHT","VARCHAR2","VARCHAR2(10)","10","","","Y","",""
"OPEN","EYE_OPE","21","INFECTION","VARCHAR2","VARCHAR2(100)","100","","","Y","",""
"OPEN","EYE_OPE","22","POST_DEAL","VARCHAR2","VARCHAR2(200)","200","","","Y","",""
"OPEN","EYE_OPE","23","PAST","VARCHAR2","VARCHAR2(2000)","2000","","","Y","",""
"OPEN","EYE_OPE","24","COMT","VARCHAR2","VARCHAR2(200)","200","","","Y","",""
"OPEN","EYE_OPE","25","ALL_CHECK","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE","26","EXPLAIN","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE","27","EYE_DROP","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE","28","AGREE","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE","29","PRE_CHECK","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE","30","STAFF","NUMBER","NUMBER(5)","22","5","0","Y","",""
"OPEN","EYE_OPE","31","SAVE_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_OPE","32","SAVE_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_OPE","33","STATUS","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE","34","DEL_STAFF","NUMBER","NUMBER(5)","22","5","0","Y","",""
"OPEN","EYE_OPE","35","DEL_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_OPE","36","DEL_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_OPE","37","SHORT_OPE3","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE","38","EARLIER_OK","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE_DOCTOR","1","ID","NUMBER","NUMBER","22","","","N","",""
"OPEN","EYE_OPE_DOCTOR","2","PRE_CONT","VARCHAR2","VARCHAR2(3000)","3000","","","Y","",""
"OPEN","EYE_OPE_DOCTOR","3","DO_CONT","VARCHAR2","VARCHAR2(3000)","3000","","","Y","",""
"OPEN","EYE_OPE_DOCTOR","4","STAFF","NUMBER","NUMBER(5)","22","5","0","Y","",""
"OPEN","EYE_OPE_DOCTOR","5","SAVE_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_OPE_DOCTOR","6","SAVE_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_OPE_DOCTOR","7","STATUS","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE_DOCTOR","8","PDF_SAVE","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE_DOCTOR","9","PDF_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_OPE_DOCTOR","10","PDF_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_OPE_PASS","1","ID","NUMBER","NUMBER","22","","","N","",""
"OPEN","EYE_OPE_PASS","2","CONT","VARCHAR2","VARCHAR2(4000)","4000","","","Y","",""
"OPEN","EYE_OPE_PASS","3","STAFF","NUMBER","NUMBER(5)","22","5","0","Y","",""
"OPEN","EYE_OPE_PASS","4","SAVE_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_OPE_PASS","5","SAVE_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_OPE_PASS","6","STATUS","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE_PASS","7","PDF_SAVE","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE_PASS","8","PDF_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_OPE_PASS","9","PDF_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_OPE_RECORD","1","ID","NUMBER","NUMBER","22","","","N","",""
"OPEN","EYE_OPE_RECORD","2","CONT","VARCHAR2","VARCHAR2(4000)","4000","","","Y","",""
"OPEN","EYE_OPE_RECORD","3","STAFF","NUMBER","NUMBER(5)","22","5","0","Y","",""
"OPEN","EYE_OPE_RECORD","4","SAVE_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_OPE_RECORD","5","SAVE_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_OPE_RECORD","6","STATUS","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE_RECORD","7","PDF_SAVE","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE_RECORD","8","PDF_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_OPE_RECORD","9","PDF_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_OPE_RSV","1","OPE_DATE","NUMBER","NUMBER(8)","22","8","0","N","",""
"OPEN","EYE_OPE_RSV","2","OPE_WAKU","VARCHAR2","VARCHAR2(9)","9","","","N","",""
"OPEN","EYE_OPE_RSV","3","OPE_KIND","NUMBER","NUMBER(2)","22","2","0","N","",""
"OPEN","EYE_OPE_RSV","4","RSV_KIND","NUMBER","NUMBER(1)","22","1","0","Y","",""
"OPEN","EYE_OPE_RSV","5","COMT","VARCHAR2","VARCHAR2(20)","20","","","Y","",""
"OPEN","EYE_SUMMARY","1","PATIENT_ID","NUMBER","NUMBER(9)","22","9","0","N","",""
"OPEN","EYE_SUMMARY","2","DIAG","VARCHAR2","VARCHAR2(200)","200","","","Y","",""
"OPEN","EYE_SUMMARY","3","KIND1","VARCHAR2","VARCHAR2(60)","60","","","Y","",""
"OPEN","EYE_SUMMARY","4","KIND2","VARCHAR2","VARCHAR2(60)","60","","","Y","",""
"OPEN","EYE_SUMMARY","5","KIND3","VARCHAR2","VARCHAR2(60)","60","","","Y","",""
"OPEN","EYE_SUMMARY","6","PLAN","VARCHAR2","VARCHAR2(400)","400","","","Y","",""
"OPEN","EYE_SUMMARY","7","PASS","VARCHAR2","VARCHAR2(2000)","2000","","","Y","",""
"OPEN","EYE_SUMMARY","8","CONT1","VARCHAR2","VARCHAR2(3000)","3000","","","Y","",""
"OPEN","EYE_SUMMARY","9","CONT2","VARCHAR2","VARCHAR2(3000)","3000","","","Y","",""
"OPEN","EYE_SUMMARY","10","CONT3","VARCHAR2","VARCHAR2(3000)","3000","","","Y","",""
"OPEN","EYE_SUMMARY","11","CONT4","VARCHAR2","VARCHAR2(3000)","3000","","","Y","",""
"OPEN","EYE_SUMMARY","12","STAFF","NUMBER","NUMBER(5)","22","5","0","Y","",""
"OPEN","EYE_SUMMARY","13","SAVE_DATE","NUMBER","NUMBER(8)","22","8","0","Y","",""
"OPEN","EYE_SUMMARY","14","SAVE_TIME","NUMBER","NUMBER(6)","22","6","0","Y","",""
"OPEN","EYE_SUMMARY","15","HIST","VARCHAR2","VARCHAR2(2000)","2000","","","Y","",""
