"TABLE_NAME","KIND","NAME","COLUMN_NAME","POSITION","EXTRA"
"EYE_INTERVIEW","PRIMARY KEY","PKEY_EYE_INTERVIEW","ID","1",""
"EYE_KENSA","PRIMARY KEY","PKEY_EYE_KENSA","PATIENT_ID","1",""
"EYE_KENSA","PRIMARY KEY","PKEY_EYE_KENSA","KENSA_ID","2",""
"EYE_KENSA","PRIMARY KEY","PKEY_EYE_KENSA","KENSA_DATE","3",""
"EYE_KENSA2","PRIMARY KEY","PKEY_EYE_KENSA2","PATIENT_ID","1",""
"EYE_KENSA2","PRIMARY KEY","PKEY_EYE_KENSA2","KENSA_ID","2",""
"EYE_KENSA2","PRIMARY KEY","PKEY_EYE_KENSA2","KENSA_DATE","3",""
"EYE_KENSA2","PRIMARY KEY","PKEY_EYE_KENSA2","KENSA_SEQ","4",""
"EYE_OPE","PRIMARY KEY","PKEY_EYE_OPE","ID","1",""
"EYE_OPE_DOCTOR","PRIMARY KEY","PKEY_EYE_OPE_DOCTOR","ID","1",""
"EYE_OPE_PASS","PRIMARY KEY","PKEY_EYE_OPE_PASS","ID","1",""
"EYE_OPE_RECORD","PRIMARY KEY","PKEY_EYE_OPE_RECORD","ID","1",""
"EYE_OPE_RSV","PRIMARY KEY","PKEY_EYE_OPE_RSV","OPE_DATE","1",""
"EYE_OPE_RSV","PRIMARY KEY","PKEY_EYE_OPE_RSV","OPE_WAKU","2",""
"EYE_OPE_RSV","PRIMARY KEY","PKEY_EYE_OPE_RSV","OPE_KIND","3",""
"EYE_SUMMARY","PRIMARY KEY","PKEY_EYE_SUMMARY","PATIENT_ID","1",""
"EYE_INTERVIEW","INDEX","PKEY_EYE_INTERVIEW","ID","1","UNIQUE"
"EYE_KENSA","INDEX","PKEY_EYE_KENSA","PATIENT_ID","1","UNIQUE"
"EYE_KENSA","INDEX","PKEY_EYE_KENSA","KENSA_ID","2","UNIQUE"
"EYE_KENSA","INDEX","PKEY_EYE_KENSA","KENSA_DATE","3","UNIQUE"
"EYE_KENSA2","INDEX","PKEY_EYE_KENSA2","PATIENT_ID","1","UNIQUE"
"EYE_KENSA2","INDEX","PKEY_EYE_KENSA2","KENSA_ID","2","UNIQUE"
"EYE_KENSA2","INDEX","PKEY_EYE_KENSA2","KENSA_DATE","3","UNIQUE"
"EYE_KENSA2","INDEX","PKEY_EYE_KENSA2","KENSA_SEQ","4","UNIQUE"
"EYE_OPE","INDEX","PKEY_EYE_OPE","ID","1","UNIQUE"
"EYE_OPE_DOCTOR","INDEX","PKEY_EYE_OPE_DOCTOR","ID","1","UNIQUE"
"EYE_OPE_PASS","INDEX","PKEY_EYE_OPE_PASS","ID","1","UNIQUE"
"EYE_OPE_RECORD","INDEX","PKEY_EYE_OPE_RECORD","ID","1","UNIQUE"
"EYE_OPE_RSV","INDEX","PKEY_EYE_OPE_RSV","OPE_DATE","1","UNIQUE"
"EYE_OPE_RSV","INDEX","PKEY_EYE_OPE_RSV","OPE_WAKU","2","UNIQUE"
"EYE_OPE_RSV","INDEX","PKEY_EYE_OPE_RSV","OPE_KIND","3","UNIQUE"
"EYE_SUMMARY","INDEX","PKEY_EYE_SUMMARY","PATIENT_ID","1","UNIQUE"
